stat,correlation_with_win,p_value
score_diff,0.762,0.0
avg_word_value_diff,0.632,0.0
words_over_800_diff,0.624,0.0
words_diff,0.532,0.0
words_over_1400_diff,0.421,0.0
my_words,0.383,2e-05
my_score,0.367,5e-05
opp_words_over_1400,-0.296,0.00126
opp_avg_word_value,-0.282,0.00213
my_words_over_800,0.259,0.00498
opp_words_over_800,-0.258,0.00519
my_avg_word_value,0.243,0.00853
opp_score,-0.237,0.0104
my_words_over_1400,0.216,0.02007
words_over_1800_diff,0.2,0.03157
opp_words_over_1800,-0.182,0.05083
my_words_over_1800,0.115,0.21884
opp_words,-0.06,0.52224
