wv_bucket,games,wins,win_pct,avg_my_words,avg_opp_words,avg_words_diff,avg_score_diff,avg_my_words_over_800,avg_opp_words_over_800,avg_my_words_over_1400,avg_opp_words_over_1400,avg_my_words_over_1800,avg_opp_words_over_1800,avg_my_words_over_2200,avg_opp_words_over_2200,avg_my_hv_rate,avg_opp_hv_rate,avg_my_words_over_1400_rate,avg_opp_words_over_1400_rate
-300 to -250,1,0,0.0,14.0,20.0,-6.0,-6500.0,1.0,5.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0714,0.25,0.0,0.1
-250 to -200,2,1,50.0,45.5,32.5,13.0,-2350.0,8.5,10.5,0.5,6.5,0.0,1.0,0.0,0.5,0.1855,0.309,0.0125,0.2039
-200 to -150,1,0,0.0,29.0,30.0,-1.0,-5500.0,0.0,5.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.1667,0.0,0.1
-150 to -100,10,1,10.0,35.7,33.4,2.3,-3390.0,4.6,9.0,0.8,2.6,0.1,0.2,0.0,0.0,0.1181,0.2649,0.0228,0.0762
-100 to -50,11,3,27.27,37.27,32.27,5.0,-781.82,5.182,6.909,0.818,1.727,0.0,0.182,0.0,0.0,0.129,0.2091,0.0196,0.047
-50 to 0,16,3,18.75,31.5,33.12,-1.62,-1256.25,3.188,4.375,0.625,0.625,0.0,0.0,0.0,0.0,0.0966,0.1293,0.0196,0.0193
0 to 50,11,10,90.91,35.36,33.82,1.55,1172.73,4.818,3.182,0.727,0.636,0.091,0.0,0.0,0.0,0.1238,0.0794,0.0187,0.0181
50 to 100,6,5,83.33,33.0,30.5,2.5,3383.33,7.0,3.167,1.0,0.167,0.0,0.0,0.0,0.0,0.2057,0.0946,0.0255,0.0046
100 to 150,4,4,100.0,34.0,29.0,5.0,5150.0,6.25,2.5,1.25,0.0,0.0,0.0,0.0,0.0,0.1895,0.0842,0.0399,0.0
150 to 200,1,1,100.0,33.0,27.0,6.0,6800.0,8.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.2424,0.1111,0.1212,0.0
