file,dataset,opponent_label,combined_game_idx,dataset_game_idx,my_won,my_score,my_words,my_words_over_800,my_words_over_1400,my_words_over_1800,my_words_over_2200,my_avg_word_value,my_hv_rate,opponent_score,opponent_words,opponent_words_over_800,opponent_words_over_1400,opponent_words_over_1800,opponent_words_over_2200,opponent_avg_word_value,opponent_hv_rate,opponent_tier,total_score,total_words,total_avg_word_value,score_diff,words_diff,words_over_800_diff,words_over_1400_diff,words_over_1800_diff,words_over_2200_diff,avg_word_value_diff,hv_rate_diff,notes,my_adjusted_points,opponent_adjusted_points,my_score_share,opponent_score_share,vs_opponent_2
IMG_5712.PNG,1,Opponent 1,1,1,0,11200,27,7,1,0,0,414.81,0.2593,16400,33,11,3,0,0,496.97,0.3333,strong opponent,27600,60,460.0,-5200,-6,-4,-2,0,0,-82.16,-0.074,,-2600.0,2600.0,0.4057971014492754,0.5942028985507246,0
IMG_5713.PNG,1,Opponent 1,2,2,1,7300,26,2,0,0,0,280.77,0.0769,6300,26,1,0,0,0,242.31,0.0385,weak opponent,13600,52,261.54,1000,0,1,0,0,0,38.46,0.0384,,500.0,-500.0,0.5367647058823529,0.4632352941176471,0
IMG_5714.PNG,1,Opponent 1,3,3,0,4800,20,1,0,0,0,240.0,0.05,8000,26,3,0,0,0,307.69,0.1154,mid opponent,12800,46,278.26,-3200,-6,-2,0,0,0,-67.69,-0.0654,,-1600.0,1600.0,0.375,0.625,0
IMG_5715.PNG,1,Opponent 1,4,4,0,9200,32,3,0,0,0,287.5,0.0938,12600,37,5,0,0,0,340.54,0.1351,mid opponent,21800,69,315.94,-3400,-5,-2,0,0,0,-53.04,-0.0413,,-1700.0,1700.0,0.4220183486238532,0.5779816513761468,0
IMG_5716.PNG,1,Opponent 1,5,5,0,14800,41,8,0,0,0,360.98,0.1951,16200,43,8,1,0,0,376.74,0.186,strong opponent,31000,84,369.05,-1400,-2,0,-1,0,0,-15.76,0.0091,,-700.0,700.0,0.4774193548387097,0.5225806451612903,0
IMG_5717.PNG,1,Opponent 1,6,6,0,15900,48,6,0,0,0,331.25,0.125,23900,48,15,0,0,0,497.92,0.3125,strong opponent,39800,96,414.58,-8000,0,-9,0,0,0,-166.67,-0.1875,opp_words_over_800 is a lower bound; visible 15-word list never drops below 800 before truncation (33 more hidden),-4000.0,4000.0,0.3994974874371859,0.6005025125628141,0
IMG_5718.PNG,1,Opponent 1,7,7,0,7600,31,0,0,0,0,245.16,0.0,8100,27,3,0,0,0,300.0,0.1111,mid opponent,15700,58,270.69,-500,4,-3,0,0,0,-54.84,-0.1111,,-250.0,250.0,0.4840764331210191,0.5159235668789809,0
IMG_5719.PNG,1,Opponent 1,8,8,0,8200,40,0,0,0,0,205.0,0.0,11400,33,6,1,0,0,345.45,0.1818,mid opponent,19600,73,268.49,-3200,7,-6,-1,0,0,-140.45,-0.1818,,-1600.0,1600.0,0.4183673469387755,0.5816326530612245,0
IMG_5720.PNG,1,Opponent 1,9,9,0,2400,15,0,0,0,0,160.0,0.0,3100,16,0,0,0,0,193.75,0.0,weak opponent,5500,31,177.42,-700,-1,0,0,0,0,-33.75,0.0,,-350.0,350.0,0.4363636363636363,0.5636363636363636,0
IMG_5721.PNG,1,Opponent 1,10,10,0,7100,29,0,0,0,0,244.83,0.0,8800,32,2,0,0,0,275.0,0.0625,weak opponent,15900,61,260.66,-1700,-3,-2,0,0,0,-30.17,-0.0625,,-850.0,850.0,0.4465408805031446,0.5534591194968553,0
IMG_5722.PNG,1,Opponent 1,11,11,0,10700,44,3,0,0,0,243.18,0.0682,13500,33,9,2,0,0,409.09,0.2727,strong opponent,24200,77,314.29,-2800,11,-6,-2,0,0,-165.91,-0.2045,,-1400.0,1400.0,0.4421487603305785,0.5578512396694215,0
IMG_5723.PNG,1,Opponent 1,12,12,1,14100,34,8,1,0,0,414.71,0.2353,12100,38,5,0,0,0,318.42,0.1316,mid opponent,26200,72,363.89,2000,-4,3,1,0,0,96.29,0.1037,,1000.0,-1000.0,0.5381679389312977,0.4618320610687023,0
IMG_5724.PNG,1,Opponent 1,13,13,0,6200,32,0,0,0,0,193.75,0.0,7500,28,2,0,0,0,267.86,0.0714,weak opponent,13700,60,228.33,-1300,4,-2,0,0,0,-74.11,-0.0714,,-650.0,650.0,0.4525547445255474,0.5474452554744526,0
IMG_5725.PNG,1,Opponent 1,14,14,1,7300,32,2,0,0,0,228.12,0.0625,4500,26,1,0,0,0,173.08,0.0385,weak opponent,11800,58,203.45,2800,6,1,0,0,0,55.04,0.024,,1400.0,-1400.0,0.6186440677966102,0.3813559322033898,0
IMG_5726.PNG,1,Opponent 1,15,15,0,7200,26,1,0,0,0,276.92,0.0385,13300,37,9,0,0,0,359.46,0.2432,mid opponent,20500,63,325.4,-6100,-11,-8,0,0,0,-82.54,-0.2047,,-3050.0,3050.0,0.3512195121951219,0.6487804878048781,0
IMG_5727.PNG,1,Opponent 1,16,16,0,16200,39,9,1,0,0,415.38,0.2308,23200,41,15,6,0,0,565.85,0.3659,strong opponent,39400,80,492.5,-7000,-2,-6,-5,0,0,-150.47,-0.1351,opp_words_over_800 is a lower bound; visible 15-word list never drops below 800 before truncation (26 more hidden),-3500.0,3500.0,0.4111675126903553,0.5888324873096447,0
IMG_5728.PNG,1,Opponent 1,17,17,1,15800,37,10,1,0,0,427.03,0.2703,11400,31,4,1,1,0,367.74,0.129,strong opponent,27200,68,400.0,4400,6,6,0,-1,0,59.29,0.1413,,2200.0,-2200.0,0.5808823529411765,0.4191176470588235,0
IMG_5729.PNG,1,Opponent 1,18,18,1,8700,31,2,0,0,0,280.65,0.0645,6500,25,1,0,0,0,260.0,0.04,weak opponent,15200,56,271.43,2200,6,1,0,0,0,20.65,0.0245,,1100.0,-1100.0,0.5723684210526315,0.4276315789473684,0
IMG_5730.PNG,1,Opponent 1,19,19,0,5500,17,2,1,0,0,323.53,0.1176,13700,31,7,4,0,0,441.94,0.2258,strong opponent,19200,48,400.0,-8200,-14,-5,-3,0,0,-118.41,-0.1082,,-4100.0,4100.0,0.2864583333333333,0.7135416666666666,0
IMG_5731.PNG,1,Opponent 1,20,20,1,17600,44,8,2,0,0,400.0,0.1818,16200,35,10,2,0,0,462.86,0.2857,strong opponent,33800,79,427.85,1400,9,-2,0,0,0,-62.86,-0.1039,,700.0,-700.0,0.5207100591715976,0.4792899408284023,0
IMG_5732.PNG,1,Opponent 1,21,21,0,7900,33,1,0,0,0,239.39,0.0303,10200,31,2,1,0,0,329.03,0.0645,mid opponent,18100,64,282.81,-2300,2,-1,-1,0,0,-89.64,-0.0342,,-1150.0,1150.0,0.43646408839779,0.56353591160221,0
IMG_5733.PNG,1,Opponent 1,22,22,0,19000,41,14,1,0,0,463.41,0.3415,19400,33,13,6,1,0,587.88,0.3939,strong opponent,38400,74,518.92,-400,8,1,-5,-1,0,-124.47,-0.0524,,-200.0,200.0,0.4947916666666667,0.5052083333333334,0
IMG_5734.PNG,1,Opponent 1,23,23,1,10400,32,3,3,0,0,325.0,0.0938,5200,27,1,0,0,0,192.59,0.037,weak opponent,15600,59,264.41,5200,5,2,3,0,0,132.41,0.0568,,2600.0,-2600.0,0.6666666666666666,0.3333333333333333,0
IMG_5735.PNG,1,Opponent 1,24,24,1,14100,36,6,2,0,0,391.67,0.1667,12200,39,5,0,0,0,312.82,0.1282,mid opponent,26300,75,350.67,1900,-3,1,2,0,0,78.85,0.0385,,950.0,-950.0,0.5361216730038023,0.4638783269961977,0
IMG_5736.PNG,1,Opponent 1,25,25,0,10800,41,1,0,0,0,263.41,0.0244,12000,34,5,0,0,0,352.94,0.1471,mid opponent,22800,75,304.0,-1200,7,-4,0,0,0,-89.53,-0.1227,,-600.0,600.0,0.4736842105263157,0.5263157894736842,0
IMG_5737.PNG,1,Opponent 1,26,26,1,10300,46,0,0,0,0,223.91,0.0,7400,37,1,0,0,0,200.0,0.027,weak opponent,17700,83,213.25,2900,9,-1,0,0,0,23.91,-0.027,,1450.0,-1450.0,0.5819209039548022,0.4180790960451977,0
IMG_5738.PNG,1,Opponent 1,27,27,0,3400,19,0,0,0,0,178.95,0.0,7100,26,3,0,0,0,273.08,0.1154,weak opponent,10500,45,233.33,-3700,-7,-3,0,0,0,-94.13,-0.1154,,-1850.0,1850.0,0.3238095238095238,0.6761904761904762,0
IMG_5739.PNG,1,Opponent 1,28,28,0,11000,34,4,0,0,0,323.53,0.1176,12200,29,6,1,0,0,420.69,0.2069,strong opponent,23200,63,368.25,-1200,5,-2,-1,0,0,-97.16,-0.0893,,-600.0,600.0,0.4741379310344827,0.5258620689655172,0
IMG_5740.PNG,1,Opponent 1,29,29,1,13600,43,3,0,0,0,316.28,0.0698,10100,30,2,0,0,0,336.67,0.0667,mid opponent,23700,73,324.66,3500,13,1,0,0,0,-20.39,0.0031,,1750.0,-1750.0,0.5738396624472574,0.4261603375527426,0
IMG_5741.PNG,1,Opponent 1,30,30,0,8200,31,3,0,0,0,264.52,0.0968,11300,33,5,1,0,0,342.42,0.1515,mid opponent,19500,64,304.69,-3100,-2,-2,-1,0,0,-77.9,-0.0547,,-1550.0,1550.0,0.4205128205128205,0.5794871794871795,0
IMG_5742.PNG,1,Opponent 1,31,31,0,8500,28,3,0,0,0,303.57,0.1071,12300,34,5,2,0,0,361.76,0.1471,strong opponent,20800,62,335.48,-3800,-6,-2,-2,0,0,-58.19,-0.04,,-1900.0,1900.0,0.4086538461538461,0.5913461538461539,0
