file,my_won,my_score,my_words,my_words_over_800,my_words_over_1400,my_words_over_1800,my_words_over_2200,opp2_score,opp2_words,opp2_words_over_800,opp2_words_over_1400,opp2_words_over_1800,opp2_words_over_2200,notes,score_diff,words_diff,words_over_800_diff,words_over_1400_diff,words_over_1800_diff,words_over_2200_diff,total_score,total_words,my_avg_word_value,opp2_avg_word_value,total_avg_word_value,avg_word_value_diff,my_hv_rate,opp2_hv_rate,hv_rate_diff,opp2_tier,game_idx
IMG_5828.PNG,1,5700,32,1,0,0,0,4200,24,0,0,0,0,,1500,8,1,0,0,0,9900,56,178.12,175.0,176.79,3.12,0.0312,0.0,0.0312,weak opp2,1
IMG_5829.PNG,0,12400,51,1,0,0,0,14600,44,6,1,0,0,,-2200,7,-5,-1,0,0,27000,95,243.14,331.82,284.21,-88.68,0.0196,0.1364,-0.1168,strong opp2,2
IMG_5830.PNG,1,15000,33,9,2,0,0,11200,31,6,0,0,0,,3800,2,3,2,0,0,26200,64,454.55,361.29,409.38,93.26,0.2727,0.1935,0.0792,strong opp2,3
IMG_5831.PNG,1,15500,52,4,0,0,0,8700,31,2,0,0,0,,6800,21,2,0,0,0,24200,83,298.08,280.65,291.57,17.43,0.0769,0.0645,0.0124,mid opp2,4
IMG_5832.PNG,0,8400,30,3,0,0,0,15100,39,7,3,0,0,,-6700,-9,-4,-3,0,0,23500,69,280.0,387.18,340.58,-107.18,0.1,0.1795,-0.0795,strong opp2,5
IMG_5833.PNG,0,5700,20,1,0,0,0,8100,25,2,1,0,0,,-2400,-5,-1,-1,0,0,13800,45,285.0,324.0,306.67,-39.0,0.05,0.08,-0.03,mid opp2,6
IMG_5834.PNG,1,15000,41,7,0,0,0,13800,38,7,0,0,0,,1200,3,0,0,0,0,28800,79,365.85,363.16,364.56,2.69,0.1707,0.1842,-0.0135,strong opp2,7
IMG_5835.PNG,0,5300,26,0,0,0,0,6300,30,0,0,0,0,,-1000,-4,0,0,0,0,11600,56,203.85,210.0,207.14,-6.15,0.0,0.0,0.0,weak opp2,8
IMG_5836.PNG,1,5200,20,2,0,0,0,4200,21,0,0,0,0,,1000,-1,2,0,0,0,9400,41,260.0,200.0,229.27,60.0,0.1,0.0,0.1,weak opp2,9
IMG_5837.PNG,1,20500,44,14,1,0,0,10300,29,5,0,0,0,,10200,15,9,1,0,0,30800,73,465.91,355.17,421.92,110.74,0.3182,0.1724,0.1458,strong opp2,10
IMG_5838.PNG,0,17000,36,8,5,0,0,20700,40,11,5,2,0,"opponent had non-standard 1800-point words (TRAILED, TRIALED); counted toward over_800 and over_1400",-3700,-4,-3,0,-2,0,37700,76,472.22,517.5,496.05,-45.28,0.2222,0.275,-0.0528,strong opp2,11
IMG_5839.PNG,1,5200,21,1,0,0,0,4500,20,1,0,0,0,,700,1,0,0,0,0,9700,41,247.62,225.0,236.59,22.62,0.0476,0.05,-0.0024,weak opp2,12
IMG_5840.PNG,0,3300,15,0,0,0,0,4100,19,1,0,0,0,,-800,-4,-1,0,0,0,7400,34,220.0,215.79,217.65,4.21,0.0,0.0526,-0.0526,weak opp2,13
IMG_5841.PNG,1,5500,20,2,1,0,0,5300,26,0,0,0,0,,200,-6,2,1,0,0,10800,46,275.0,203.85,234.78,71.15,0.1,0.0,0.1,weak opp2,14
IMG_5842.PNG,1,12700,43,3,0,0,0,11300,41,3,0,0,0,,1400,2,0,0,0,0,24000,84,295.35,275.61,285.71,19.74,0.0698,0.0732,-0.0034,mid opp2,15
IMG_5843.PNG,1,13200,43,5,0,0,0,5300,28,1,0,0,0,,7900,15,4,0,0,0,18500,71,306.98,189.29,260.56,117.69,0.1163,0.0357,0.0806,weak opp2,16
IMG_5844.PNG,0,5600,22,1,0,0,0,8000,31,1,0,0,0,,-2400,-9,0,0,0,0,13600,53,254.55,258.06,256.6,-3.51,0.0455,0.0323,0.0132,mid opp2,17
IMG_5845.PNG,0,5500,21,1,0,0,0,5700,27,0,0,0,0,,-200,-6,1,0,0,0,11200,48,261.9,211.11,233.33,50.79,0.0476,0.0,0.0476,weak opp2,18
IMG_5846.PNG,0,6700,27,1,0,0,0,8300,30,2,0,0,0,,-1600,-3,-1,0,0,0,15000,57,248.15,276.67,263.16,-28.52,0.037,0.0667,-0.0297,mid opp2,19
IMG_5847.PNG,0,9400,43,0,0,0,0,9800,33,2,2,0,0,,-400,10,-2,-2,0,0,19200,76,218.6,296.97,252.63,-78.37,0.0,0.0606,-0.0606,mid opp2,20
IMG_5848.PNG,0,13000,31,5,3,1,0,15000,38,6,4,1,0,,-2000,-7,-1,-1,0,0,28000,69,419.35,394.74,405.8,24.61,0.1613,0.1579,0.0034,strong opp2,21
IMG_5849.PNG,0,5800,28,0,0,0,0,5900,29,0,0,0,0,,-100,-1,0,0,0,0,11700,57,207.14,203.45,205.26,3.69,0.0,0.0,0.0,weak opp2,22
IMG_5850.PNG,1,9300,30,3,0,0,0,6800,29,0,0,0,0,,2500,1,3,0,0,0,16100,59,310.0,234.48,272.88,75.52,0.1,0.0,0.1,weak opp2,23
