file,dataset,opponent_label,score_diff,diff_low,diff_mid,diff_high
IMG_5712.PNG,1,Opponent 1,-5200,-800,-1600,-2800
IMG_5713.PNG,1,Opponent 1,1000,200,800,0
IMG_5714.PNG,1,Opponent 1,-3200,-1600,-1600,0
IMG_5715.PNG,1,Opponent 1,-3400,-1800,-1600,0
IMG_5716.PNG,1,Opponent 1,-1400,-800,800,-1400
IMG_5717.PNG,1,Opponent 1,-8000,-800,-7200,0
IMG_5718.PNG,1,Opponent 1,-500,1900,-2400,0
IMG_5719.PNG,1,Opponent 1,-3200,2200,-4000,-1400
IMG_5720.PNG,1,Opponent 1,-700,-700,0,0
IMG_5721.PNG,1,Opponent 1,-1700,-100,-1600,0
IMG_5722.PNG,1,Opponent 1,-2800,3200,-3200,-2800
IMG_5723.PNG,1,Opponent 1,2000,-1000,1600,1400
IMG_5724.PNG,1,Opponent 1,-1300,300,-1600,0
IMG_5725.PNG,1,Opponent 1,2800,2000,800,0
IMG_5726.PNG,1,Opponent 1,-6100,300,-6400,0
IMG_5727.PNG,1,Opponent 1,-7000,800,-800,-7000
IMG_5728.PNG,1,Opponent 1,4400,0,4800,-400
IMG_5729.PNG,1,Opponent 1,2200,1400,800,0
IMG_5730.PNG,1,Opponent 1,-8200,-2400,-1600,-4200
IMG_5731.PNG,1,Opponent 1,1400,3000,-1600,0
IMG_5732.PNG,1,Opponent 1,-2300,-900,0,-1400
IMG_5733.PNG,1,Opponent 1,-400,2200,4800,-7400
IMG_5734.PNG,1,Opponent 1,5200,1800,-800,4200
IMG_5735.PNG,1,Opponent 1,1900,-100,-800,2800
IMG_5736.PNG,1,Opponent 1,-1200,2000,-3200,0
IMG_5737.PNG,1,Opponent 1,2900,3700,-800,0
IMG_5738.PNG,1,Opponent 1,-3700,-1300,-2400,0
IMG_5739.PNG,1,Opponent 1,-1200,1000,-800,-1400
IMG_5740.PNG,1,Opponent 1,3500,2700,800,0
IMG_5741.PNG,1,Opponent 1,-3100,-900,-800,-1400
IMG_5742.PNG,1,Opponent 1,-3800,-1000,0,-2800
IMG_5743.PNG,1,Opponent 1,3200,800,2400,0
IMG_5744.PNG,1,Opponent 1,-1800,400,-800,-1400
IMG_5745.PNG,1,Opponent 1,1400,600,800,0
IMG_5746.PNG,1,Opponent 1,200,1200,800,-1800
IMG_5747.PNG,1,Opponent 1,1200,2000,-800,0
IMG_5748.PNG,1,Opponent 1,2600,2600,0,0
IMG_5749.PNG,1,Opponent 1,1100,-1100,800,1400
IMG_5750.PNG,1,Opponent 1,3600,3600,0,0
IMG_5751.PNG,1,Opponent 1,2300,700,1600,0
IMG_5752.PNG,1,Opponent 1,-5700,1300,-1600,-5400
IMG_5753.PNG,1,Opponent 1,2900,-700,800,2800
IMG_5754.PNG,1,Opponent 1,-10000,-400,-4000,-5600
IMG_5755.PNG,1,Opponent 1,-1500,-1300,-1600,1400
IMG_5756.PNG,1,Opponent 1,-5200,800,-3200,-2800
IMG_5757.PNG,1,Opponent 1,-700,900,-1600,0
IMG_5758.PNG,1,Opponent 1,8500,1500,5600,1400
IMG_5759.PNG,1,Opponent 1,-600,-600,0,0
IMG_5760.PNG,1,Opponent 1,-4400,-3000,0,-1400
IMG_5761.PNG,1,Opponent 1,1100,-1100,800,1400
IMG_5762.PNG,1,Opponent 1,-1200,-400,-800,0
IMG_5763.PNG,1,Opponent 1,3400,6400,-1600,-1400
IMG_5764.PNG,1,Opponent 1,-2400,-2400,0,0
IMG_5765.PNG,1,Opponent 1,8500,4900,6400,-2800
IMG_5766.PNG,1,Opponent 1,-3200,-1600,-1600,0
IMG_5767.PNG,1,Opponent 1,700,2300,-1600,0
IMG_5768.PNG,1,Opponent 1,-1900,-1900,0,0
IMG_5769.PNG,1,Opponent 1,-1400,1800,-3200,0
IMG_5770.PNG,1,Opponent 1,-1700,-1700,0,0
IMG_5771.PNG,1,Opponent 1,-2400,1200,-800,-2800
IMG_5772.PNG,1,Opponent 1,1800,800,2400,-1400
IMG_5773.PNG,1,Opponent 1,2000,400,1600,0
IMG_5774.PNG,1,Opponent 1,1900,100,3200,-1400
IMG_5775.PNG,1,Opponent 1,100,900,-800,0
IMG_5776.PNG,1,Opponent 1,-900,3700,-3200,-1400
IMG_5777.PNG,1,Opponent 1,-3400,2600,0,-6000
IMG_5778.PNG,1,Opponent 1,-4500,-1500,-1600,-1400
IMG_5779.PNG,1,Opponent 1,-2700,900,0,-3600
IMG_5780.PNG,1,Opponent 1,2200,2600,2400,-2800
IMG_5781.PNG,1,Opponent 1,2500,1700,800,0
IMG_5782.PNG,1,Opponent 1,-4800,1000,-1600,-4200
IMG_5783.PNG,1,Opponent 1,-3200,1200,-1600,-2800
IMG_5784.PNG,1,Opponent 1,-5700,500,-1600,-4600
IMG_5785.PNG,1,Opponent 1,1500,-1500,-1600,4600
IMG_5786.PNG,1,Opponent 1,100,900,-800,0
IMG_5787.PNG,1,Opponent 1,-5900,2500,-2400,-6000
IMG_5788.PNG,1,Opponent 1,400,-400,800,0
IMG_5789.PNG,1,Opponent 1,-400,400,-800,0
IMG_5790.PNG,1,Opponent 1,-2000,400,-2400,0
IMG_5791.PNG,1,Opponent 1,-5900,-2100,-2400,-1400
IMG_5792.PNG,1,Opponent 1,-9500,-900,-1600,-7000
IMG_5793.PNG,1,Opponent 1,-1800,1800,-800,-2800
IMG_5794.PNG,1,Opponent 1,-2000,-2000,0,0
IMG_5795.PNG,1,Opponent 1,600,-1000,1600,0
IMG_5796.PNG,1,Opponent 1,3000,3000,0,0
IMG_5797.PNG,1,Opponent 1,0,400,2400,-2800
IMG_5798.PNG,1,Opponent 1,-1600,1000,3200,-5800
IMG_5799.PNG,1,Opponent 1,-400,1600,800,-2800
IMG_5800.PNG,1,Opponent 1,2600,1200,0,1400
IMG_5801.PNG,1,Opponent 1,1700,900,800,0
IMG_5802.PNG,1,Opponent 1,-2600,-1000,-1600,0
IMG_5803.PNG,1,Opponent 1,400,1200,-800,0
IMG_5804.PNG,1,Opponent 1,-1800,-400,0,-1400
IMG_5805.PNG,1,Opponent 1,-5400,-2200,-3200,0
IMG_5806.PNG,1,Opponent 1,-500,-500,0,0
IMG_5807.PNG,1,Opponent 1,-4700,-1500,0,-3200
IMG_5808.PNG,1,Opponent 1,400,400,0,0
IMG_5809.PNG,1,Opponent 1,2900,5100,4800,-7000
IMG_5810.PNG,1,Opponent 1,3400,1800,1600,0
IMG_5811.PNG,1,Opponent 1,-6500,-1700,-1600,-3200
IMG_5812.PNG,1,Opponent 1,-9700,-900,-3200,-5600
IMG_5813.PNG,1,Opponent 1,-900,-1700,800,0
IMG_5814.PNG,1,Opponent 1,900,-300,4000,-2800
IMG_5815.PNG,1,Opponent 1,-2300,100,800,-3200
IMG_5816.PNG,1,Opponent 1,-4400,-600,-2400,-1400
IMG_5817.PNG,1,Opponent 1,900,900,0,0
IMG_5818.PNG,1,Opponent 1,-600,0,800,-1400
IMG_5819.PNG,1,Opponent 1,700,1500,-800,0
IMG_5820.PNG,1,Opponent 1,-200,400,800,-1400
IMG_5821.PNG,1,Opponent 1,-1100,-1900,800,0
IMG_5822.PNG,1,Opponent 1,-3600,0,-800,-2800
IMG_5823.PNG,1,Opponent 1,-1900,-2700,800,0
IMG_5824.PNG,1,Opponent 1,4100,1100,1600,1400
IMG_5825.PNG,1,Opponent 1,500,500,0,0
IMG_5826.PNG,1,Opponent 1,-2300,-700,-1600,0
IMG_5827.PNG,1,Opponent 1,-100,5100,1600,-6800
IMG_5828.PNG,2,Opponent 2,1500,700,800,0
IMG_5829.PNG,2,Opponent 2,-2200,2400,-3200,-1400
IMG_5830.PNG,2,Opponent 2,3800,200,800,2800
IMG_5831.PNG,2,Opponent 2,6800,5200,1600,0
IMG_5832.PNG,2,Opponent 2,-6700,-1700,-800,-4200
IMG_5833.PNG,2,Opponent 2,-2400,-1000,0,-1400
IMG_5834.PNG,2,Opponent 2,1200,1200,0,0
IMG_5835.PNG,2,Opponent 2,-1000,-1000,0,0
IMG_5836.PNG,2,Opponent 2,1000,-600,1600,0
IMG_5837.PNG,2,Opponent 2,10200,2400,6400,1400
IMG_5838.PNG,2,Opponent 2,-3700,-500,-2400,-800
IMG_5839.PNG,2,Opponent 2,700,700,0,0
IMG_5840.PNG,2,Opponent 2,-800,0,-800,0
IMG_5841.PNG,2,Opponent 2,200,-2000,800,1400
IMG_5842.PNG,2,Opponent 2,1400,1400,0,0
IMG_5843.PNG,2,Opponent 2,7900,4700,3200,0
IMG_5844.PNG,2,Opponent 2,-2400,-2400,0,0
IMG_5845.PNG,2,Opponent 2,-200,-1000,800,0
IMG_5846.PNG,2,Opponent 2,-1600,-800,-800,0
IMG_5847.PNG,2,Opponent 2,-400,2400,0,-2800
IMG_5848.PNG,2,Opponent 2,-2000,-600,0,-1400
IMG_5849.PNG,2,Opponent 2,-100,-100,0,0
IMG_5850.PNG,2,Opponent 2,2500,100,2400,0
IMG_5851.PNG,2,Opponent 2,6200,2800,4800,-1400
IMG_5852.PNG,2,Opponent 2,-800,-800,0,0
IMG_5853.PNG,2,Opponent 2,3500,1900,1600,0
IMG_5854.PNG,2,Opponent 2,2100,2900,-800,0
IMG_5855.PNG,2,Opponent 2,5000,1200,2400,1400
IMG_5856.PNG,2,Opponent 2,400,400,0,0
IMG_5857.PNG,2,Opponent 2,3900,-900,4800,0
IMG_5858.PNG,2,Opponent 2,2400,3200,-800,0
IMG_5859.PNG,2,Opponent 2,2200,-200,2400,0
IMG_5860.PNG,2,Opponent 2,-200,600,-800,0
IMG_5861.PNG,2,Opponent 2,1400,1400,0,0
IMG_5862.PNG,2,Opponent 2,2100,-300,2400,0
IMG_5863.PNG,2,Opponent 2,-10800,200,0,-11000
IMG_5864.PNG,2,Opponent 2,7100,1700,4000,1400
IMG_5865.PNG,2,Opponent 2,-4500,1700,800,-7000
IMG_5866.PNG,2,Opponent 2,-400,400,-800,0
IMG_5867.PNG,2,Opponent 2,-1100,-300,-800,0
IMG_5868.PNG,2,Opponent 2,100,1500,0,-1400
IMG_5869.PNG,2,Opponent 2,-5800,1600,-3200,-4200
IMG_5870.PNG,2,Opponent 2,3800,0,2400,1400
IMG_5871.PNG,2,Opponent 2,-200,-1000,800,0
IMG_5872.PNG,2,Opponent 2,-1300,700,800,-2800
IMG_5873.PNG,2,Opponent 2,-3300,-100,-3200,0
IMG_5874.PNG,2,Opponent 2,1700,900,800,0
IMG_5875.PNG,2,Opponent 2,2900,2900,0,0
IMG_5876.PNG,2,Opponent 2,1000,-400,0,1400
IMG_5877.PNG,2,Opponent 2,500,500,0,0
IMG_5878.PNG,2,Opponent 2,1000,1000,0,0
