file,my_won,my_score,my_words,my_words_over_800,my_words_over_1400,my_words_over_1800,my_words_over_2200,opp2_score,opp2_words,opp2_words_over_800,opp2_words_over_1400,opp2_words_over_1800,opp2_words_over_2200,notes
IMG_5828.PNG,1,5700,32,1,0,0,0,4200,24,0,0,0,0,
IMG_5829.PNG,0,12400,51,1,0,0,0,14600,44,6,1,0,0,
IMG_5830.PNG,1,15000,33,9,2,0,0,11200,31,6,0,0,0,
IMG_5831.PNG,1,15500,52,4,0,0,0,8700,31,2,0,0,0,
IMG_5832.PNG,0,8400,30,3,0,0,0,15100,39,7,3,0,0,
IMG_5833.PNG,0,5700,20,1,0,0,0,8100,25,2,1,0,0,
IMG_5834.PNG,1,15000,41,7,0,0,0,13800,38,7,0,0,0,
IMG_5835.PNG,0,5300,26,0,0,0,0,6300,30,0,0,0,0,
IMG_5836.PNG,1,5200,20,2,0,0,0,4200,21,0,0,0,0,
IMG_5837.PNG,1,20500,44,14,1,0,0,10300,29,5,0,0,0,
IMG_5838.PNG,0,17000,36,8,5,0,0,20700,40,11,5,2,0,"opponent had non-standard 1800-point words (TRAILED, TRIALED); counted toward over_800 and over_1400; words_over_1800 added retroactively (2026-08-04 correction pass) after auditing all games with any >=1400 word"
IMG_5839.PNG,1,5200,21,1,0,0,0,4500,20,1,0,0,0,
IMG_5840.PNG,0,3300,15,0,0,0,0,4100,19,1,0,0,0,
IMG_5841.PNG,1,5500,20,2,1,0,0,5300,26,0,0,0,0,
IMG_5842.PNG,1,12700,43,3,0,0,0,11300,41,3,0,0,0,
IMG_5843.PNG,1,13200,43,5,0,0,0,5300,28,1,0,0,0,
IMG_5844.PNG,0,5600,22,1,0,0,0,8000,31,1,0,0,0,
IMG_5845.PNG,0,5500,21,1,0,0,0,5700,27,0,0,0,0,
IMG_5846.PNG,0,6700,27,1,0,0,0,8300,30,2,0,0,0,
IMG_5847.PNG,0,9400,43,0,0,0,0,9800,33,2,2,0,0,
IMG_5848.PNG,0,13000,31,5,3,1,0,15000,38,6,4,1,0,words_over_1800 added retroactively (2026-08-04 correction pass) after auditing all games with any >=1400 word
IMG_5849.PNG,0,5800,28,0,0,0,0,5900,29,0,0,0,0,
IMG_5850.PNG,1,9300,30,3,0,0,0,6800,29,0,0,0,0,
IMG_5851.PNG,1,23100,53,15,0,0,0,16900,39,10,1,0,0,my_words_over_800 is a lower bound; visible 15-word list never drops below 800 before truncation (38 more hidden) — verified directly
IMG_5852.PNG,0,5600,25,1,0,0,0,6400,24,1,0,0,0,
IMG_5853.PNG,1,8800,31,3,0,0,0,5300,22,1,0,0,0,
IMG_5854.PNG,1,9200,35,0,0,0,0,7100,28,1,0,0,0,
IMG_5855.PNG,1,15300,39,9,1,0,0,10300,29,5,0,0,0,
IMG_5856.PNG,1,11700,40,5,0,0,0,11300,36,5,0,0,0,
IMG_5857.PNG,1,17700,43,11,0,0,0,13800,40,5,0,0,0,
IMG_5858.PNG,1,12200,41,3,0,0,0,9800,31,4,0,0,0,
IMG_5859.PNG,1,12100,35,5,0,0,0,9900,37,2,0,0,0,
IMG_5860.PNG,0,5700,25,2,0,0,0,5900,23,3,0,0,0,
IMG_5861.PNG,1,10300,46,0,0,0,0,8900,35,0,0,0,0,
IMG_5862.PNG,1,11400,31,5,0,0,0,9300,31,2,0,0,0,
IMG_5863.PNG,0,9800,36,2,0,0,0,20600,38,9,7,3,0,opponent had three 1800-point words (WOOLERS/TOOLERS/COOLERS); counted toward over_800 and over_1400; words_over_1800 added retroactively (2026-08-04 correction pass) after auditing all games with any >=1400 word
IMG_5864.PNG,1,17100,37,11,2,0,0,10000,29,5,1,0,0,
IMG_5865.PNG,0,7600,26,2,0,0,0,12100,25,6,5,0,0,
IMG_5866.PNG,0,6500,22,1,0,0,0,6900,22,2,0,0,0,
IMG_5867.PNG,0,2300,14,0,0,0,0,3400,15,1,0,0,0,
IMG_5868.PNG,1,16600,47,8,0,0,0,16500,45,9,1,0,0,
IMG_5869.PNG,0,9300,29,4,0,0,0,15100,29,11,3,0,0,
IMG_5870.PNG,1,11500,30,7,1,0,0,7700,29,3,0,0,0,
IMG_5871.PNG,0,8100,28,2,0,0,0,8300,34,1,0,0,0,
IMG_5872.PNG,0,7600,21,4,0,0,0,8900,21,5,2,0,0,
IMG_5873.PNG,0,13600,39,7,0,0,0,16900,38,11,0,0,0,
IMG_5874.PNG,1,10000,33,4,0,0,0,8300,29,3,0,0,0,
IMG_5875.PNG,1,5900,26,0,0,0,0,3000,18,0,0,0,0,
IMG_5876.PNG,1,6300,26,1,1,0,0,5300,26,0,0,0,0,
IMG_5877.PNG,1,9400,35,2,0,0,0,8900,36,2,0,0,0,
IMG_5878.PNG,1,8400,37,2,0,0,0,7400,30,2,0,0,0,
