bucket,games,win_pct,avg_my_score,avg_opp_score,avg_total_score,avg_my_words,avg_opp_words,avg_total_words,avg_my_words_over_800,avg_opp_words_over_800,avg_my_words_over_1400,avg_opp_words_over_1400,avg_my_words_over_1800,avg_opp_words_over_1800,avg_my_words_over_2200,avg_opp_words_over_2200,avg_my_avg_word_value,avg_opp_avg_word_value,avg_total_avg_word_value,avg_score_diff,avg_words_diff,avg_words_over_800_diff,avg_words_over_1400_diff,avg_words_over_1800_diff,avg_words_over_2200_diff,avg_avg_word_value_diff
4k-8k,1,0.0,2400.0,3100.0,5500.0,15.0,16.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,193.75,177.42,-700.0,-1.0,0.0,0.0,0.0,0.0,-33.75
8k-12k,9,44.44,5111.11,5355.56,10466.67,24.44,24.33,48.78,1.33,1.22,0.0,0.0,0.0,0.0,0.0,0.0,208.67,222.58,216.85,-244.44,0.11,0.11,0.0,0.0,0.0,-13.91
12k-16k,16,37.5,7006.25,7193.75,14200.0,29.0,26.19,55.19,0.94,2.06,0.19,0.25,0.0,0.0,0.0,0.0,242.17,274.59,258.68,-187.5,2.81,-1.12,-0.06,0.0,0.0,-32.42
16k-20k,28,32.14,8553.57,9750.0,18303.57,33.5,32.54,66.04,1.79,2.89,0.18,0.96,0.0,0.11,0.0,0.04,260.4,307.32,283.95,-1196.43,0.96,-1.11,-0.79,-0.11,-0.04,-46.92
20k-24k,24,41.67,10658.33,11529.17,22187.5,34.71,33.21,67.92,3.5,4.83,0.25,1.0,0.0,0.12,0.0,0.0,309.78,349.37,329.62,-870.83,1.5,-1.33,-0.75,-0.12,0.0,-39.59
24k-28k,19,42.11,12110.53,14021.05,26131.58,35.47,37.58,73.05,5.58,6.84,0.63,1.37,0.0,0.11,0.0,0.0,343.81,376.43,360.82,-1910.53,-2.11,-1.26,-0.74,-0.11,0.0,-32.62
28k-32k,5,40.0,14440.0,16240.0,30680.0,41.0,37.8,78.8,6.8,10.0,0.4,1.6,0.0,0.0,0.0,0.0,356.2,430.5,392.66,-1800.0,3.2,-3.2,-1.2,0.0,0.0,-74.3
32k-36k,6,66.67,16900.0,17466.67,34366.67,43.0,38.17,81.17,8.67,9.83,1.33,3.17,0.0,0.5,0.0,0.17,398.8,472.85,436.16,-566.67,4.83,-1.17,-1.83,-0.5,-0.17,-74.05
36k-40k,5,40.0,19060.0,20140.0,39200.0,46.0,41.8,87.8,11.2,12.2,1.2,2.4,0.2,0.2,0.0,0.0,416.0,487.42,451.62,-1080.0,4.2,-1.0,-1.2,0.0,0.0,-71.43
40k-44k,3,33.33,21333.33,20933.33,42266.67,51.67,38.33,90.0,12.67,12.67,1.33,5.33,0.0,1.67,0.0,0.67,418.78,547.21,473.49,400.0,13.33,0.0,-4.0,-1.67,-0.67,-128.43
