bucket,games,win_pct,avg_my_score,avg_opp2_score,avg_total_score,avg_my_words,avg_opp2_words,avg_total_words,avg_my_words_over_800,avg_opp2_words_over_800,avg_my_words_over_1400,avg_opp2_words_over_1400,avg_my_words_over_1800,avg_opp2_words_over_1800,avg_my_words_over_2200,avg_opp2_words_over_2200,avg_my_avg_word_value,avg_opp2_avg_word_value,avg_total_avg_word_value,avg_score_diff,avg_words_diff,avg_words_over_800_diff,avg_words_over_1400_diff,avg_words_over_1800_diff,avg_words_over_2200_diff,avg_avg_word_value_diff
4k-8k,2,0.0,2800.0,3750.0,6550.0,14.5,17.0,31.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,192.14,221.23,207.1,-950.0,-2.5,-1.0,0.0,0.0,0.0,-29.08
8k-12k,11,54.55,5609.09,5154.55,10763.64,24.55,24.36,48.91,1.0,0.45,0.18,0.0,0.0,0.0,0.0,0.0,232.26,211.1,221.37,454.55,0.18,0.55,0.18,0.0,0.0,21.16
12k-16k,6,33.33,6950.0,7333.33,14283.33,26.5,26.67,53.17,1.5,1.67,0.0,0.17,0.0,0.0,0.0,0.0,265.68,276.66,272.14,-383.33,-0.17,-0.17,-0.17,0.0,0.0,-10.98
16k-20k,11,63.64,9600.0,8372.73,17972.73,33.64,29.73,63.36,2.64,2.18,0.09,0.82,0.0,0.0,0.0,0.0,292.8,289.04,291.26,1227.27,3.91,0.45,-0.73,0.0,0.0,3.75
20k-24k,6,83.33,11416.67,11116.67,22533.33,36.67,35.83,72.5,4.0,3.83,0.0,0.5,0.0,0.0,0.0,0.0,313.14,310.06,312.32,300.0,0.83,0.17,-0.5,0.0,0.0,3.08
24k-28k,7,57.14,13942.86,12128.57,26071.43,38.86,33.0,71.86,6.14,5.86,1.14,1.29,0.14,0.14,0.0,0.0,370.04,369.88,371.25,1814.29,5.86,0.29,-0.14,0.0,0.0,0.16
28k-32k,5,60.0,15320.0,15080.0,30400.0,40.6,36.6,77.2,8.2,7.4,0.2,1.4,0.0,0.6,0.0,0.0,372.87,410.04,394.58,240.0,4.0,0.8,-1.2,-0.6,0.0,-37.17
32k-36k,1,100.0,16600.0,16500.0,33100.0,47.0,45.0,92.0,8.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,353.19,366.67,359.78,100.0,2.0,-1.0,-1.0,0.0,0.0,-13.48
36k-40k,2,50.0,20050.0,18800.0,38850.0,44.5,39.5,84.0,11.5,10.5,2.5,3.0,0.0,1.0,0.0,0.0,454.04,475.42,465.42,1250.0,5.0,1.0,-0.5,-1.0,0.0,-21.38
40k-44k,0,,,,,,,,,,,,,,,,,,,,,,,,,
