bucket,games,win_pct,avg_my_score,avg_opp_score,avg_total_score,avg_my_words,avg_opp_words,avg_total_words,avg_my_words_over_800,avg_opp_words_over_800,avg_my_words_over_1400,avg_opp_words_over_1400,avg_my_words_over_1800,avg_opp_words_over_1800,avg_my_words_over_2200,avg_opp_words_over_2200,avg_my_avg_word_value,avg_opp_avg_word_value,avg_total_avg_word_value,avg_score_diff,avg_words_diff,avg_words_over_800_diff,avg_words_over_1400_diff,avg_words_over_1800_diff,avg_words_over_2200_diff,avg_avg_word_value_diff
8k-12k,5,60.0,4900.0,4960.0,9860.0,21.4,21.6,43.0,0.6,0.4,0.0,0.2,0.0,0.0,0.0,0.0,235.5164502164502,232.87578850507913,234.04074584125738,-60.0,-0.2,0.2,-0.2,0.0,0.0,2.6406617113711035
12k-16k,9,44.44,6433.333333333333,7433.333333333333,13866.666666666666,24.444444444444443,25.555555555555557,50.0,1.5555555555555556,2.3333333333333335,0.1111111111111111,0.6666666666666666,0.0,0.1111111111111111,0.0,0.0,267.78754001872284,300.6122244607908,286.3398232231532,-1000.0,-1.1111111111111112,-0.7777777777777778,-0.5555555555555556,-0.1111111111111111,0.0,-32.82468444206795
16k-20k,10,30.0,8160.0,9460.0,17620.0,30.0,28.4,58.4,2.1,4.0,0.1,0.7,0.0,0.1,0.0,0.0,271.8598866030554,337.7203277446244,302.90178291268415,-1300.0,1.6,-1.9,-0.6,-0.1,0.0,-65.86044114156907
20k-24k,13,46.15,11215.384615384615,10607.692307692309,21823.076923076922,33.15384615384615,32.76923076923077,65.92307692307692,4.461538461538462,3.769230769230769,1.0,0.6153846153846154,0.0,0.07692307692307693,0.0,0.0,340.9522918310869,322.6312030261511,334.65950953568426,607.6923076923077,0.38461538461538464,0.6923076923076923,0.38461538461538464,-0.07692307692307693,0.0,18.32108880493577
24k-28k,10,40.0,12990.0,13310.0,26300.0,37.7,34.2,71.9,5.8,6.1,1.1,1.5,0.0,0.3,0.0,0.1,347.99507019206845,397.0480431147264,369.26805911756475,-320.0,3.5,-0.3,-0.4,-0.3,-0.1,-49.052972922657986
28k-32k,6,50.0,15416.666666666666,15216.666666666666,30633.333333333332,43.833333333333336,40.5,84.33333333333333,7.333333333333333,8.166666666666666,0.8333333333333334,1.0,0.0,0.0,0.0,0.0,361.82871342500385,385.12373184629286,371.9387768838044,200.0,3.3333333333333335,-0.8333333333333334,-0.16666666666666666,0.0,0.0,-23.29501842128896
32k-36k,3,100.0,18400.0,16200.0,34600.0,45.666666666666664,35.333333333333336,81.0,10.0,10.666666666666666,2.0,2.3333333333333335,0.3333333333333333,0.0,0.0,0.0,412.53561253561253,459.39215956193885,430.1667935058346,2200.0,10.333333333333334,-0.6666666666666666,-0.3333333333333333,0.3333333333333333,0.0,-46.856547026326325
36k-40k,5,40.0,18960.0,19160.0,38120.0,47.2,43.4,90.6,9.8,10.0,1.8,3.4,0.0,0.2,0.0,0.0,401.5548128342246,441.5203185447088,422.6774616523762,-200.0,3.8,-0.2,-1.6,-0.2,0.0,-39.96550571048418
40k-44k,1,0.0,20900.0,22600.0,43500.0,39.0,34.0,73.0,13.0,15.0,5.0,6.0,1.0,1.0,0.0,0.0,535.8974358974359,664.7058823529412,595.8904109589041,-1700.0,5.0,-2.0,-1.0,0.0,0.0,-128.8084464555053
44k-48k,1,0.0,19000.0,25200.0,44200.0,51.0,42.0,93.0,10.0,15.0,0.0,8.0,0.0,0.0,0.0,0.0,372.54901960784315,600.0,475.26881720430106,-6200.0,9.0,-5.0,-8.0,0.0,0.0,-227.45098039215685
