wv_bucket,games,wins,win_pct,avg_my_words,avg_opp_words,avg_words_diff,avg_score_diff
-300 to -250,1,0,0.0,14.0,20.0,-6.0,-6500.0
-250 to -200,2,1,50.0,45.5,32.5,13.0,-2350.0
-200 to -150,1,0,0.0,29.0,30.0,-1.0,-5500.0
-150 to -100,10,1,10.0,35.7,33.4,2.3,-3390.0
-100 to -50,11,3,27.27,37.27,32.27,5.0,-781.82
-50 to 0,16,3,18.75,31.5,33.12,-1.62,-1256.25
0 to 50,11,10,90.91,35.36,33.82,1.55,1172.73
50 to 100,6,5,83.33,33.0,30.5,2.5,3383.33
100 to 150,4,4,100.0,34.0,29.0,5.0,5150.0
150 to 200,1,1,100.0,33.0,27.0,6.0,6800.0
